location;date;population;total_cases;new_cases;total_deaths;new_deaths;reproduction_rate;icu_patients;hosp_patients;weekly_icu_admissions;weekly_hosp_admissions
Indonesia;2020-03-02;27375319100;200;200;;;;;;;
Indonesia;2020-03-03;27375319100;200;0;;;;;;;
Indonesia;2020-03-04;27375319100;200;0;;;;;;;
Indonesia;2020-03-05;27375319100;200;0;;;;;;;
Indonesia;2020-03-06;27375319100;400;200;;;;;;;
Indonesia;2020-03-07;27375319100;400;0;;;;;;;
Indonesia;2020-03-08;27375319100;600;200;;;;;;;
Indonesia;2020-03-09;27375319100;1900;1300;;;;;;;
Indonesia;2020-03-10;27375319100;2700;800;;;;;;;
Indonesia;2020-03-11;27375319100;3400;700;100;100;;;;;
Indonesia;2020-03-12;27375319100;3400;0;100;0;;;;;
Indonesia;2020-03-13;27375319100;6900;3500;400;300;;;;;
Indonesia;2020-03-14;27375319100;9600;2700;500;100;;;;;
Indonesia;2020-03-15;27375319100;11700;2100;500;0;;;;;
Indonesia;2020-03-16;27375319100;13400;1700;500;0;2060;;;;
Indonesia;2020-03-17;27375319100;17200;3800;500;0;210;;;;
Indonesia;2020-03-18;27375319100;22700;5500;1900;1400;2140;;;;
Indonesia;2020-03-19;27375319100;31100;8400;2500;600;2140;;;;
Indonesia;2020-03-20;27375319100;36900;5800;3200;700;2060;;;;
Indonesia;2020-03-21;27375319100;45000;8100;3800;600;200;;;;
Indonesia;2020-03-22;27375319100;51400;6400;4800;1000;1920;;;;
Indonesia;2020-03-23;27375319100;57900;6500;4900;100;1880;;;;
Indonesia;2020-03-24;27375319100;68600;10700;5500;600;1840;;;;
Indonesia;2020-03-25;27375319100;79000;10400;5800;300;1780;;;;
Indonesia;2020-03-26;27375319100;89300;10300;7800;2000;1720;;;;
Indonesia;2020-03-27;27375319100;104600;15300;8700;900;170;;;;
Indonesia;2020-03-28;27375319100;115500;10900;10200;1500;1630;;;;
Indonesia;2020-03-29;27375319100;128500;13000;11400;1200;1590;;;;
Indonesia;2020-03-30;27375319100;141400;12900;12200;800;1540;;;;
Indonesia;2020-03-31;27375319100;152800;11400;13600;1400;1480;;;;
Indonesia;2020-04-01;27375319100;167700;14900;15700;2100;1460;;;;
Indonesia;2020-04-02;27375319100;179000;11300;17000;1300;1430;;;;
Indonesia;2020-04-03;27375319100;198600;19600;18100;1100;1460;;;;
Indonesia;2020-04-04;27375319100;209200;10600;19100;1000;1460;;;;
Indonesia;2020-04-05;27375319100;227300;18100;19800;700;150;;;;
Indonesia;2020-04-06;27375319100;249100;21800;20900;1100;1540;;;;
Indonesia;2020-04-07;27375319100;273800;24700;22100;1200;1540;;;;
Indonesia;2020-04-08;27375319100;295600;21800;24000;1900;1520;;;;
Indonesia;2020-04-09;27375319100;329300;33700;28000;4000;1520;;;;
Indonesia;2020-04-10;27375319100;351200;21900;30600;2600;1490;;;;
Indonesia;2020-04-11;27375319100;384200;33000;32700;2100;150;;;;
Indonesia;2020-04-12;27375319100;424100;39900;37300;4600;1480;;;;
Indonesia;2020-04-13;27375319100;455700;31600;39900;2600;1420;;;;
Indonesia;2020-04-14;27375319100;483900;28200;45900;6000;1350;;;;
Indonesia;2020-04-15;27375319100;513600;29700;46900;1000;1310;;;;
Indonesia;2020-04-16;27375319100;551600;38000;49600;2700;1280;;;;
Indonesia;2020-04-17;27375319100;592300;40700;52000;2400;1250;;;;
Indonesia;2020-04-18;27375319100;624800;32500;53500;1500;1210;;;;
Indonesia;2020-04-19;27375319100;657500;32700;58200;4700;1170;;;;
Indonesia;2020-04-20;27375319100;676000;18500;59000;800;1140;;;;
Indonesia;2020-04-21;27375319100;713500;37500;61600;2600;1130;;;;
Indonesia;2020-04-22;27375319100;741800;28300;63500;1900;1110;;;;
Indonesia;2020-04-23;27375319100;777500;35700;64700;1200;1110;;;;
Indonesia;2020-04-24;27375319100;821100;43600;68900;4200;1110;;;;
Indonesia;2020-04-25;27375319100;860700;39600;72000;3100;110;;;;
Indonesia;2020-04-26;27375319100;888200;27500;74300;2300;1080;;;;
Indonesia;2020-04-27;27375319100;909600;21400;76500;2200;1070;;;;
Indonesia;2020-04-28;27375319100;951100;41500;77300;800;1070;;;;
Indonesia;2020-04-29;27375319100;977100;26000;78400;1100;1050;;;;
Indonesia;2020-04-30;27375319100;1011800;34700;79200;800;1060;;;;
Indonesia;2020-05-01;27375319100;1055100;43300;80000;800;1080;;;;
Indonesia;2020-05-02;27375319100;1084300;29200;83100;3100;1090;;;;
Indonesia;2020-05-03;27375319100;1119200;34900;84500;1400;1120;;;;
Indonesia;2020-05-04;27375319100;1158700;39500;86400;1900;1140;;;;
Indonesia;2020-05-05;27375319100;1207100;48400;87200;800;1130;;;;
Indonesia;2020-05-06;27375319100;1243800;36700;89500;2300;1110;;;;
Indonesia;2020-05-07;27375319100;1277600;33800;93000;3500;110;;;;
Indonesia;2020-05-08;27375319100;1311200;33600;94300;1300;1110;;;;
Indonesia;2020-05-09;27375319100;1364500;53300;95900;1600;1140;;;;
Indonesia;2020-05-10;27375319100;1403200;38700;97300;1400;1160;;;;
Indonesia;2020-05-11;27375319100;1426500;23300;99100;1800;1170;;;;
Indonesia;2020-05-12;27375319100;1474900;48400;100700;1600;120;;;;
Indonesia;2020-05-13;27375319100;1543800;68900;102800;2100;1230;;;;
Indonesia;2020-05-14;27375319100;1600600;56800;104300;1500;1220;;;;
Indonesia;2020-05-15;27375319100;1649600;49000;107600;3300;1210;;;;
Indonesia;2020-05-16;27375319100;1702500;52900;108900;1300;120;;;;
Indonesia;2020-05-17;27375319100;1751400;48900;114800;5900;1210;;;;
Indonesia;2020-05-18;27375319100;1801000;49600;119100;4300;1220;;;;
Indonesia;2020-05-19;27375319100;1849600;48600;122100;3000;1230;;;;
Indonesia;2020-05-20;27375319100;1918900;69300;124200;2100;1240;;;;
Indonesia;2020-05-21;27375319100;2016200;97300;127800;3600;1260;;;;
Indonesia;2020-05-22;27375319100;2079600;63400;132600;4800;1220;;;;
Indonesia;2020-05-23;27375319100;2174500;94900;135100;2500;1190;;;;
Indonesia;2020-05-24;27375319100;2227100;52600;137200;2100;1140;;;;
Indonesia;2020-05-25;27375319100;2275000;47900;139100;1900;110;;;;
Indonesia;2020-05-26;27375319100;2316500;41500;141800;2700;1070;;;;
Indonesia;2020-05-27;27375319100;2385100;68600;147300;5500;1060;;;;
Indonesia;2020-05-28;27375319100;2453800;68700;149600;2300;1060;;;;
Indonesia;2020-05-29;27375319100;2521600;67800;152000;2400;1060;;;;
Indonesia;2020-05-30;27375319100;2577300;55700;157300;5300;1060;;;;
Indonesia;2020-05-31;27375319100;2647300;70000;161300;4000;1080;;;;
Indonesia;2020-06-01;27375319100;2694000;46700;164100;2800;1080;;;;
Indonesia;2020-06-02;27375319100;2754900;60900;166300;2200;1090;;;;
Indonesia;2020-06-03;27375319100;2823300;68400;169800;3500;110;;;;
Indonesia;2020-06-04;27375319100;2881800;58500;172100;2300;1120;;;;
Indonesia;2020-06-05;27375319100;2952100;70300;177000;4900;1170;;;;
Indonesia;2020-06-06;27375319100;3051400;99300;180100;3100;1210;;;;
Indonesia;2020-06-07;27375319100;3118600;67200;185100;5000;1230;;;;
Indonesia;2020-06-08;27375319100;3203300;84700;188300;3200;1260;;;;
Indonesia;2020-06-09;27375319100;3307600;104300;192300;4000;1280;;;;
Indonesia;2020-06-10;27375319100;3431600;124000;195900;3600;1270;;;;
Indonesia;2020-06-11;27375319100;3529500;97900;200000;4100;1240;;;;
