location;date;new_tests;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;population_density;median_age;aged_65_older;aged_70_older;female_smokers;male_smokers;handwashing_facilities
Indonesia;2020-03-02;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-03;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-04;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-05;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-06;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-07;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-08;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-09;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-10;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-11;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-12;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-13;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-14;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-15;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-16;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-17;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-18;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-19;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-20;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-21;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-22;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-23;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-24;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-25;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-26;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-27;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-28;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-29;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-30;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-03-31;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-01;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-02;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-03;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-04;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-05;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-06;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-07;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-08;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-09;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-10;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-11;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-12;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-13;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-14;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-15;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-16;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-17;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-18;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-19;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-20;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-21;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-22;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-23;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-24;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-25;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-26;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-27;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-28;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-29;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-04-30;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-05-01;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
Indonesia;2020-05-02;;;;;;;;;;1457250;2930;53190;30530;28;761;642040
